No.,Title,Category,Price (£),Rating,Availability,Price_Segment,Rating_Label
276,The Nightingale,Fiction,26.26,4,In stock,Medium (£20–40),Good
277,The Infinities,Fiction,27.41,1,In stock,Medium (£20–40),Poor
278,The Husband's Secret,Fiction,52.51,5,In stock,Premium (£40–60),Excellent
279,The Da Vinci Code (Robert Langdon #2),Fiction,22.96,2,In stock,Medium (£20–40),Fair
280,The Art of Fielding,Fiction,22.1,1,In stock,Medium (£20–40),Poor
281,Lila (Gilead #3),Fiction,12.47,3,In stock,Low (£0–20),Average
282,Jurassic Park (Jurassic Park #1),Fiction,44.97,1,In stock,Premium (£40–60),Poor
283,Inferno (Robert Langdon #4),Fiction,41.0,5,In stock,Premium (£40–60),Excellent
284,Crazy Rich Asians (Crazy Rich Asians #1),Fiction,49.13,5,In stock,Premium (£40–60),Excellent
285,Big Little Lies,Fiction,22.11,1,In stock,Medium (£20–40),Poor
286,The Course of Love,Fiction,16.78,3,In stock,Low (£0–20),Average
287,When I'm Gone,Fiction,51.96,3,In stock,Premium (£40–60),Average
288,The Silent Wife,Fiction,12.34,5,In stock,Low (£0–20),Excellent
289,The Bette Davis Club,Fiction,30.66,3,In stock,Medium (£20–40),Average
290,Kitchens of the Great Midwest,Fiction,57.2,5,In stock,Premium (£40–60),Excellent
291,Bright Lines,Fiction,39.07,5,In stock,Medium (£20–40),Excellent
292,Birdsong: A Story in Pictures,Childrens,54.64,3,In stock,Premium (£40–60),Average
293,The Bear and the Piano,Childrens,36.89,1,In stock,Medium (£20–40),Poor
294,The Secret of Dreadwillow Carse,Childrens,56.13,1,In stock,Premium (£40–60),Poor
295,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,Childrens,58.08,4,In stock,Premium (£40–60),Good
296,Little Red,Childrens,13.47,3,In stock,Low (£0–20),Average
297,Walt Disney's Alice in Wonderland,Childrens,12.96,5,In stock,Low (£0–20),Excellent
298,Twenty Yawns,Childrens,22.08,2,In stock,Medium (£20–40),Fair
299,Rain Fish,Childrens,23.57,3,In stock,Medium (£20–40),Average
300,Once Was a Time,Childrens,18.28,2,In stock,Low (£0–20),Fair
301,Luis Paints the World,Childrens,53.95,3,In stock,Premium (£40–60),Average
302,Nap-a-Roo,Childrens,25.08,1,In stock,Medium (£20–40),Poor
303,The Whale,Childrens,35.96,4,In stock,Medium (£20–40),Good
304,"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",Childrens,52.87,3,In stock,Premium (£40–60),Average
305,Raymie Nightingale,Childrens,34.41,2,In stock,Medium (£20–40),Fair
306,Playing from the Heart,Childrens,32.38,1,In stock,Medium (£20–40),Poor
307,Maybe Something Beautiful: How Art Transformed a Neighborhood,Childrens,22.54,1,In stock,Medium (£20–40),Poor
308,The Wild Robot,Childrens,56.07,3,In stock,Premium (£40–60),Average
309,The Thing About Jellyfish,Childrens,48.77,1,In stock,Premium (£40–60),Poor
310,The Lonely Ones,Childrens,43.59,5,In stock,Premium (£40–60),Excellent
311,The Day the Crayons Came Home (Crayons),Childrens,26.33,5,In stock,Medium (£20–40),Excellent
312,The Cat in the Hat (Beginner Books B-1),Childrens,16.26,2,In stock,Low (£0–20),Fair
313,Red: The True Story of Red Riding Hood,Childrens,28.54,3,In stock,Medium (£20–40),Average
314,Horrible Bear!,Childrens,37.52,2,In stock,Medium (£20–40),Fair
315,Green Eggs and Ham (Beginner Books B-16),Childrens,10.79,4,In stock,Low (£0–20),Good
316,Counting Thyme,Childrens,10.62,1,In stock,Low (£0–20),Poor
317,Are We There Yet?,Childrens,10.66,3,In stock,Low (£0–20),Average
318,Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),Childrens,52.88,4,In stock,Premium (£40–60),Good
319,Matilda,Childrens,28.34,1,In stock,Medium (£20–40),Poor
320,Charlie and the Chocolate Factory (Charlie Bucket #1),Childrens,22.85,3,In stock,Medium (£20–40),Average
321,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,37.97,2,In stock,Medium (£20–40),Fair
322,You Are What You Love: The Spiritual Power of Habit,Religion,21.87,4,In stock,Medium (£20–40),Good
323,God: The Most Unpleasant Character in All Fiction,Religion,30.03,5,In stock,Medium (£20–40),Excellent
324,The Book of Mormon,Religion,24.57,3,In stock,Medium (£20–40),Average
325,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Religion,27.62,1,In stock,Medium (£20–40),Poor
326,The Bhagavad Gita,Religion,57.49,3,In stock,Premium (£40–60),Average
327,Choosing Our Religion: The Spiritual Lives of America's Nones,Religion,28.42,4,In stock,Medium (£20–40),Good
328,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Nonfiction,40.3,5,In stock,Premium (£40–60),Excellent
329,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,31.05,3,In stock,Medium (£20–40),Average
330,Reasons to Stay Alive,Nonfiction,26.41,2,In stock,Medium (£20–40),Fair
331,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,23.11,5,In stock,Medium (£20–40),Excellent
332,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,44.18,4,In stock,Premium (£40–60),Good
333,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,31.12,3,In stock,Medium (£20–40),Average
334,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,16.77,3,In stock,Low (£0–20),Average
335,The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,37.13,1,In stock,Medium (£20–40),Poor
336,The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,56.06,1,In stock,Premium (£40–60),Poor
337,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,41.83,4,In stock,Premium (£40–60),Good
338,Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,19.83,2,In stock,Low (£0–20),Fair
339,In the Country We Love: My Family Divided,Nonfiction,22.0,4,In stock,Medium (£20–40),Good
340,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,54.35,2,In stock,Premium (£40–60),Fair
341,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,29.14,5,In stock,Medium (£20–40),Excellent
342,Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,30.81,1,In stock,Medium (£20–40),Poor
343,The Power of Now: A Guide to Spiritual Enlightenment,Nonfiction,43.54,2,In stock,Premium (£40–60),Fair
344,The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction,38.21,2,In stock,Medium (£20–40),Fair
345,The Genius of Birds,Nonfiction,17.24,1,In stock,Low (£0–20),Poor
346,The Artist's Way: A Spiritual Path to Higher Creativity,Nonfiction,38.49,5,In stock,Medium (£20–40),Excellent
347,So You've Been Publicly Shamed,Nonfiction,12.23,2,In stock,Low (£0–20),Fair
348,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Nonfiction,19.43,3,In stock,Low (£0–20),Average
349,Big Magic: Creative Living Beyond Fear,Nonfiction,30.8,3,In stock,Medium (£20–40),Average
350,Becoming Wise: An Inquiry into the Mystery and Art of Living,Nonfiction,27.43,2,In stock,Medium (£20–40),Fair
351,Agnostic: A Spirited Manifesto,Nonfiction,12.51,5,In stock,Low (£0–20),Excellent
352,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Nonfiction,38.2,4,In stock,Medium (£20–40),Good
353,What's It Like in Space?: Stories from Astronauts Who've Been There,Nonfiction,19.6,2,In stock,Low (£0–20),Fair
354,The Year of Magical Thinking,Nonfiction,43.04,2,In stock,Premium (£40–60),Fair
355,The Literature Book (Big Ideas Simply Explained),Nonfiction,17.43,3,In stock,Low (£0–20),Average
356,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,Nonfiction,15.77,1,In stock,Low (£0–20),Poor
357,Swell: A Year of Waves,Nonfiction,45.58,1,In stock,Premium (£40–60),Poor
358,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Nonfiction,21.95,2,In stock,Medium (£20–40),Fair
359,Looking for Lovely: Collecting the Moments that Matter,Nonfiction,29.14,5,In stock,Medium (£20–40),Excellent
360,Let It Out: A Journey Through Journaling,Nonfiction,26.79,5,In stock,Medium (£20–40),Excellent
361,Hamilton: The Revolution,Nonfiction,58.79,3,In stock,Premium (£40–60),Average
362,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",Nonfiction,15.06,4,In stock,Low (£0–20),Good
363,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Nonfiction,51.75,5,In stock,Premium (£40–60),Excellent
364,Buying In: The Secret Dialogue Between What We Buy and Who We Are,Nonfiction,37.8,4,In stock,Medium (£20–40),Good
365,Brain on Fire: My Month of Madness,Nonfiction,49.32,5,In stock,Premium (£40–60),Excellent
366,Abstract City,Nonfiction,56.37,5,In stock,Premium (£40–60),Excellent
367,13 Hours: The Inside Account of What Really Happened In Benghazi,Nonfiction,27.06,1,In stock,Medium (£20–40),Poor
368,The Lonely City: Adventures in the Art of Being Alone,Nonfiction,33.26,2,In stock,Medium (£20–40),Fair
369,The Diary of a Young Girl,Nonfiction,59.9,3,In stock,Premium (£40–60),Average
370,Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Nonfiction,21.21,3,In stock,Medium (£20–40),Average
371,Furiously Happy: A Funny Book About Horrible Things,Nonfiction,41.46,4,In stock,Premium (£40–60),Good
372,"The Sleep Revolution: Transforming Your Life, One Night at a Time",Nonfiction,11.68,4,In stock,Low (£0–20),Good
373,"Mother, Can You Not?",Nonfiction,16.89,5,In stock,Low (£0–20),Excellent
374,A Mother's Reckoning: Living in the Aftermath of Tragedy,Nonfiction,19.53,3,In stock,Low (£0–20),Average
375,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Nonfiction,24.57,2,In stock,Medium (£20–40),Fair
376,Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,Nonfiction,35.92,2,In stock,Medium (£20–40),Fair
377,"Zero to One: Notes on Startups, or How to Build the Future",Nonfiction,34.06,3,In stock,Medium (£20–40),Average
378,Why Not Me?,Nonfiction,17.76,1,In stock,Low (£0–20),Poor
379,When Breath Becomes Air,Nonfiction,39.36,2,In stock,Medium (£20–40),Fair
380,"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",Nonfiction,28.45,4,In stock,Medium (£20–40),Good
381,Smarter Faster Better: The Secrets of Being Productive in Life and Business,Nonfiction,38.89,5,In stock,Medium (£20–40),Excellent
382,Rising Strong,Nonfiction,21.82,3,In stock,Medium (£20–40),Average
383,Man's Search for Meaning,Nonfiction,29.48,3,In stock,Medium (£20–40),Average
384,"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",Nonfiction,25.06,2,In stock,Medium (£20–40),Fair
385,Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,Nonfiction,12.55,3,In stock,Low (£0–20),Average
386,I Will Find You,Nonfiction,44.21,1,In stock,Premium (£40–60),Poor
387,Brazen: The Courage to Find the You That's Been Hiding,Nonfiction,19.22,2,In stock,Low (£0–20),Fair
388,Between the World and Me,Nonfiction,56.91,4,In stock,Premium (£40–60),Good
389,Being Mortal: Medicine and What Matters in the End,Nonfiction,55.06,4,In stock,Premium (£40–60),Good
390,"A Murder Over a Girl: Justice, Gender, Junior High",Nonfiction,13.2,3,In stock,Low (£0–20),Average
391,For the Love: Fighting for Grace in a World of Impossible Standards,Nonfiction,45.13,3,In stock,Premium (£40–60),Average
392,Finding God in the Ruins: How God Redeems Pain,Nonfiction,46.64,2,In stock,Premium (£40–60),Fair
393,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Nonfiction,59.45,4,In stock,Premium (£40–60),Good
394,In Cold Blood,Nonfiction,49.98,4,In stock,Premium (£40–60),Good
395,"Girl, Interrupted",Nonfiction,42.14,3,In stock,Premium (£40–60),Average
396,Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,Nonfiction,48.67,2,In stock,Premium (£40–60),Fair
397,Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,Nonfiction,25.15,4,In stock,Medium (£20–40),Good
398,My Mother Was Nuts,Nonfiction,31.63,4,In stock,Medium (£20–40),Good
399,"Data, A Love Story: How I Gamed Online Dating to Meet My Match",Nonfiction,32.35,3,In stock,Medium (£20–40),Average
400,The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,Nonfiction,38.71,3,In stock,Medium (£20–40),Average
401,The Gunning of America: Business and the Making of American Gun Culture,Nonfiction,16.81,4,In stock,Low (£0–20),Good
402,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Nonfiction,28.23,2,In stock,Medium (£20–40),Fair
403,God Is Not Great: How Religion Poisons Everything,Nonfiction,27.8,1,In stock,Medium (£20–40),Poor
404,We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,Nonfiction,31.95,3,In stock,Medium (£20–40),Average
405,Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,Nonfiction,50.66,3,In stock,Premium (£40–60),Average
406,"Unstuffed: Decluttering Your Home, Mind, and Soul",Nonfiction,58.09,1,In stock,Premium (£40–60),Poor
407,Under the Banner of Heaven: A Story of Violent Faith,Nonfiction,30.0,1,In stock,Medium (£20–40),Poor
408,"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",Nonfiction,53.51,1,In stock,Premium (£40–60),Poor
409,The Name of God is Mercy,Nonfiction,37.25,2,In stock,Medium (£20–40),Fair
410,Stiff: The Curious Lives of Human Cadavers,Nonfiction,36.74,3,In stock,Medium (£20–40),Average
411,Spilled Milk: Based on a True Story,Nonfiction,49.51,1,In stock,Premium (£40–60),Poor
412,"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",Nonfiction,41.67,4,In stock,Premium (£40–60),Good
413,Outliers: The Story of Success,Nonfiction,14.16,1,In stock,Low (£0–20),Poor
414,Notes from a Small Island (Notes From a Small Island #1),Nonfiction,40.17,1,In stock,Premium (£40–60),Poor
415,Night (The Night Trilogy #1),Nonfiction,13.51,1,In stock,Low (£0–20),Poor
416,"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",Nonfiction,57.83,1,In stock,Premium (£40–60),Poor
417,Letter to a Christian Nation,Nonfiction,22.2,1,In stock,Medium (£20–40),Poor
418,Let's Pretend This Never Happened: A Mostly True Memoir,Nonfiction,45.11,1,In stock,Premium (£40–60),Poor
419,It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,Nonfiction,42.38,1,In stock,Premium (£40–60),Poor
420,Into the Wild,Nonfiction,56.7,5,In stock,Premium (£40–60),Excellent
421,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Nonfiction,28.85,3,In stock,Medium (£20–40),Average
422,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,Nonfiction,28.88,2,In stock,Medium (£20–40),Fair
423,Gratitude,Nonfiction,26.66,5,In stock,Medium (£20–40),Excellent
424,Disrupted: My Misadventure in the Start-Up Bubble,Nonfiction,15.28,5,In stock,Low (£0–20),Excellent
425,Brave Enough,Nonfiction,51.32,5,In stock,Premium (£40–60),Excellent
426,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Nonfiction,27.35,2,In stock,Medium (£20–40),Fair
427,Blink: The Power of Thinking Without Thinking,Nonfiction,21.74,5,In stock,Medium (£20–40),Excellent
428,Black Flags: The Rise of ISIS,Nonfiction,40.87,1,In stock,Premium (£40–60),Poor
429,Are We Smart Enough to Know How Smart Animals Are?,Nonfiction,56.58,1,In stock,Premium (£40–60),Poor
430,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Nonfiction,30.48,4,In stock,Medium (£20–40),Good
431,"The Suffragettes (Little Black Classics, #96)",Nonfiction,11.89,2,In stock,Low (£0–20),Fair
432,Kindle Paperwhite User's Guide,Nonfiction,34.0,3,In stock,Medium (£20–40),Average
433,H is for Hawk,Nonfiction,57.42,5,In stock,Premium (£40–60),Excellent
434,Travels with Charley: In Search of America,Nonfiction,57.82,5,In stock,Premium (£40–60),Excellent
435,The Tumor,Nonfiction,41.56,5,In stock,Premium (£40–60),Excellent
436,The End of the Jesus Era (An Investigation #1),Nonfiction,14.4,1,In stock,Low (£0–20),Poor
437,"Eat, Pray, Love",Nonfiction,51.32,3,In stock,Premium (£40–60),Average
438,Rip it Up and Start Again,Music,35.02,5,In stock,Medium (£20–40),Excellent
439,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,57.25,3,In stock,Premium (£40–60),Average
440,How Music Works,Music,37.32,2,In stock,Medium (£20–40),Fair
441,Love Is a Mix Tape (Music #1),Music,18.03,1,In stock,Low (£0–20),Poor
442,Please Kill Me: The Uncensored Oral History of Punk,Music,31.19,4,In stock,Medium (£20–40),Good
443,Kill 'Em and Leave: Searching for James Brown and the American Soul,Music,45.05,5,In stock,Premium (£40–60),Excellent
444,"Chronicles, Vol. 1",Music,52.6,2,In stock,Premium (£40–60),Fair
445,This Is Your Brain on Music: The Science of a Human Obsession,Music,38.4,1,In stock,Medium (£20–40),Poor
446,"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",Music,12.36,3,In stock,Low (£0–20),Average
447,No One Here Gets Out Alive,Music,20.02,5,In stock,Medium (£20–40),Excellent
448,Life,Music,31.58,5,In stock,Medium (£20–40),Excellent
449,Old Records Never Die: One Man's Quest for His Vinyl and His Past,Music,55.66,2,In stock,Premium (£40–60),Fair
450,Forever Rockers (The Rocker #12),Music,28.8,3,In stock,Medium (£20–40),Average
603,Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,37.59,1,In stock,Medium (£20–40),Poor
604,Join,Science Fiction,35.67,5,In stock,Medium (£20–40),Excellent
605,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Science Fiction,43.3,4,In stock,Premium (£40–60),Good
606,The Project,Science Fiction,10.65,1,In stock,Low (£0–20),Poor
607,Soft Apocalypse,Science Fiction,26.12,2,In stock,Medium (£20–40),Fair
608,Sleeping Giants (Themis Files #1),Science Fiction,48.74,1,In stock,Premium (£40–60),Poor
609,Arena,Science Fiction,21.36,4,In stock,Medium (£20–40),Good
610,Foundation (Foundation (Publication Order) #1),Science Fiction,32.42,1,In stock,Medium (£20–40),Poor
611,The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),Science Fiction,10.92,1,In stock,Low (£0–20),Poor
612,Ready Player One,Science Fiction,19.07,4,In stock,Low (£0–20),Good
613,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",Science Fiction,33.26,2,In stock,Medium (£20–40),Fair
614,Dune (Dune #1),Science Fiction,54.86,1,In stock,Premium (£40–60),Poor
615,Do Androids Dream of Electric Sheep? (Blade Runner #1),Science Fiction,51.48,1,In stock,Premium (£40–60),Poor
616,Three Wishes (River of Time: California #1),Science Fiction,44.18,2,In stock,Premium (£40–60),Fair
617,The Last Girl (The Dominion Trilogy #1),Science Fiction,36.26,2,In stock,Medium (£20–40),Fair
618,Having the Barbarian's Baby (Ice Planet Barbarians #7.5),Science Fiction,34.96,4,In stock,Medium (£20–40),Good
619,The Book of Basketball: The NBA According to The Sports Guy,Sports and Games,44.84,5,In stock,Premium (£40–60),Excellent
620,"Friday Night Lights: A Town, a Team, and a Dream",Sports and Games,51.22,3,In stock,Premium (£40–60),Average
621,Sugar Rush (Offensive Line #2),Sports and Games,24.42,1,In stock,Medium (£20–40),Poor
622,Settling the Score (The Summer Games #1),Sports and Games,44.91,2,In stock,Premium (£40–60),Fair
623,Icing (Aces Hockey #2),Sports and Games,40.44,4,In stock,Premium (£40–60),Good
691,Unicorn Tracks,Fantasy,18.78,3,In stock,Low (£0–20),Average
692,"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,25.02,3,In stock,Medium (£20–40),Average
693,Princess Between Worlds (Wide-Awake Princess #5),Fantasy,13.34,5,In stock,Low (£0–20),Excellent
694,Masks and Shadows,Fantasy,56.4,2,In stock,Premium (£40–60),Fair
695,Crown of Midnight (Throne of Glass #2),Fantasy,43.29,3,In stock,Premium (£40–60),Average
696,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Fantasy,28.09,2,In stock,Medium (£20–40),Fair
697,A Court of Thorns and Roses (A Court of Thorns and Roses #1),Fantasy,52.37,1,In stock,Premium (£40–60),Poor
698,Throne of Glass (Throne of Glass #1),Fantasy,35.07,3,In stock,Medium (£20–40),Average
699,The Glittering Court (The Glittering Court #1),Fantasy,44.28,1,In stock,Premium (£40–60),Poor
700,Hollow City (Miss Peregrine’s Peculiar Children #2),Fantasy,42.98,1,In stock,Premium (£40–60),Poor
701,The Star-Touched Queen,Fantasy,46.02,5,In stock,Premium (£40–60),Excellent
702,The Hidden Oracle (The Trials of Apollo #1),Fantasy,52.26,2,In stock,Premium (£40–60),Fair
703,The Bane Chronicles (The Bane Chronicles #1-11),Fantasy,44.73,4,In stock,Premium (£40–60),Good
704,Island of Dragons (Unwanteds #7),Fantasy,29.65,1,In stock,Medium (£20–40),Poor
705,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),Fantasy,37.51,5,In stock,Medium (£20–40),Excellent
706,City of Glass (The Mortal Instruments #3),Fantasy,56.02,4,In stock,Premium (£40–60),Good
707,Searching for Meaning in Gailana,Fantasy,38.73,1,In stock,Medium (£20–40),Poor
708,The Star-Touched Queen,Fantasy,32.3,5,In stock,Medium (£20–40),Excellent
709,A Shard of Ice (The Black Symphony Saga #1),Fantasy,56.63,3,In stock,Premium (£40–60),Average
710,King's Folly (The Kinsman Chronicles #1),Fantasy,39.61,5,In stock,Medium (£20–40),Excellent
711,Every Heart a Doorway (Every Heart A Doorway #1),Fantasy,12.16,5,In stock,Low (£0–20),Excellent
712,A Gathering of Shadows (Shades of Magic #2),Fantasy,44.81,4,In stock,Premium (£40–60),Good
713,The Raven Boys (The Raven Cycle #1),Fantasy,57.74,4,In stock,Premium (£40–60),Good
714,The False Prince (The Ascendance Trilogy #1),Fantasy,56.0,5,In stock,Premium (£40–60),Excellent
715,Tell the Wind and Fire,Fantasy,45.51,3,In stock,Premium (£40–60),Average
716,A Feast for Crows (A Song of Ice and Fire #4),Fantasy,17.21,4,In stock,Low (£0–20),Good
717,The Demonists (Demonist #1),Fantasy,52.11,2,In stock,Premium (£40–60),Fair
718,The Beast (Black Dagger Brotherhood #14),Fantasy,46.08,5,In stock,Premium (£40–60),Excellent
719,Paper and Fire (The Great Library #2),Fantasy,49.45,5,In stock,Premium (£40–60),Excellent
720,Harry Potter and the Order of the Phoenix (Harry Potter #5),Fantasy,31.63,4,In stock,Medium (£20–40),Good
721,Harry Potter and the Half-Blood Prince (Harry Potter #6),Fantasy,48.75,5,In stock,Premium (£40–60),Excellent
722,Harry Potter and the Chamber of Secrets (Harry Potter #2),Fantasy,14.74,1,In stock,Low (£0–20),Poor
723,The Rose & the Dagger (The Wrath and the Dawn #2),Fantasy,58.64,4,In stock,Premium (£40–60),Good
724,Soldier (Talon #3),Fantasy,24.72,2,In stock,Medium (£20–40),Fair
725,Midnight Riot (Peter Grant/ Rivers of London - books #1),Fantasy,55.46,2,In stock,Premium (£40–60),Fair
726,Heir to the Sky,Fantasy,44.07,4,In stock,Premium (£40–60),Good
727,Eragon (The Inheritance Cycle #1),Fantasy,43.87,3,In stock,Premium (£40–60),Average
728,Darkfever (Fever #1),Fantasy,56.02,1,In stock,Premium (£40–60),Poor
729,Ash,Fantasy,22.06,4,In stock,Medium (£20–40),Good
730,A Storm of Swords (A Song of Ice and Fire #3),Fantasy,31.22,2,In stock,Medium (£20–40),Fair
731,Vampire Girl (Vampire Girl #1),Fantasy,53.82,2,In stock,Premium (£40–60),Fair
732,The Silent Twin (Detective Jennifer Knight #3),Fantasy,36.25,3,In stock,Medium (£20–40),Average
733,The Mirror & the Maze (The Wrath and the Dawn #1.5),Fantasy,29.38,1,In stock,Medium (£20–40),Poor
734,Sister Sable (The Mad Queen #1),Fantasy,13.33,3,In stock,Low (£0–20),Average
735,Shadow Rites (Jane Yellowrock #10),Fantasy,21.72,4,In stock,Medium (£20–40),Good
736,Origins (Alphas 0.5),Fantasy,28.99,1,In stock,Medium (£20–40),Poor
737,One Second (Seven #7),Fantasy,52.94,2,In stock,Premium (£40–60),Fair
738,Myriad (Prentor #1),Fantasy,58.75,4,In stock,Premium (£40–60),Good
739,Without Borders (Wanderlove #1),New Adult,45.07,2,In stock,Premium (£40–60),Fair
740,The Mistake (Off-Campus #2),New Adult,43.29,3,In stock,Premium (£40–60),Average
741,The Matchmaker's Playbook (Wingmen Inc. #1),New Adult,55.85,1,In stock,Premium (£40–60),Poor
742,The Hook Up (Game On #1),New Adult,36.29,5,In stock,Medium (£20–40),Excellent
743,Shameless,New Adult,58.35,3,In stock,Premium (£40–60),Average
744,Off Sides (Off #1),New Adult,39.45,5,In stock,Medium (£20–40),Excellent
745,The Requiem Red,Young Adult,22.65,1,In stock,Medium (£20–40),Poor
746,Set Me Free,Young Adult,17.46,5,In stock,Low (£0–20),Excellent
