No.,Title,Category,Price (£),Rating,Availability,Price_Segment,Rating_Label
747,The Natural History of Us (The Fine Art of Pretending #2),Young Adult,45.22,3,In stock,Premium (£40–60),Average
748,Obsidian (Lux #1),Young Adult,14.86,2,In stock,Low (£0–20),Fair
749,Burning,Young Adult,28.81,3,In stock,Medium (£20–40),Average
750,A Fierce and Subtle Poison,Young Adult,28.13,4,In stock,Medium (£20–40),Good
751,Scarlett Epstein Hates It Here,Young Adult,43.55,5,In stock,Premium (£40–60),Excellent
752,"Nightingale, Sing",Young Adult,38.28,1,In stock,Medium (£20–40),Poor
753,Library of Souls (Miss Peregrine’s Peculiar Children #3),Young Adult,48.56,5,In stock,Premium (£40–60),Excellent
754,Frostbite (Vampire Academy #2),Young Adult,29.99,5,In stock,Medium (£20–40),Excellent
755,Wild Swans,Young Adult,14.36,2,In stock,Low (£0–20),Fair
756,Until Friday Night (The Field Party #1),Young Adult,46.31,2,In stock,Premium (£40–60),Fair
757,This Is Where It Ends,Young Adult,27.12,2,In stock,Medium (£20–40),Fair
758,The Darkest Lie,Young Adult,35.35,5,In stock,Medium (£20–40),Excellent
759,My Kind of Crazy,Young Adult,40.36,1,In stock,Premium (£40–60),Poor
760,Don't Get Caught,Young Adult,55.35,1,In stock,Premium (£40–60),Poor
761,Catching Jordan (Hundred Oaks),Young Adult,50.83,3,In stock,Premium (£40–60),Average
762,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),Young Adult,58.14,4,In stock,Premium (£40–60),Good
763,The Epidemic (The Program 0.6),Young Adult,14.44,5,In stock,Low (£0–20),Excellent
764,Stars Above (The Lunar Chronicles #4.5),Young Adult,48.05,2,In stock,Premium (£40–60),Fair
765,No Love Allowed (Dodge Cove #1),Young Adult,54.65,4,In stock,Premium (£40–60),Good
766,"Exit, Pursued by a Bear",Young Adult,51.34,4,In stock,Premium (£40–60),Good
767,The Alien Club,Young Adult,54.4,1,In stock,Premium (£40–60),Poor
768,Don't Forget Steven,Young Adult,33.23,1,In stock,Medium (£20–40),Poor
769,South of Sunshine,Young Adult,28.93,1,In stock,Medium (£20–40),Poor
770,My Life Next Door (My Life Next Door ),Young Adult,36.39,5,In stock,Medium (£20–40),Excellent
771,Future Shock (Future Shock #1),Young Adult,55.65,5,In stock,Premium (£40–60),Excellent
772,Nightstruck: A Novel,Young Adult,50.35,4,In stock,Premium (£40–60),Good
773,Tell the Wolves I'm Home,Young Adult,50.96,2,In stock,Premium (£40–60),Fair
774,"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",Young Adult,47.31,4,In stock,Premium (£40–60),Good
775,Where She Went (If I Stay #2),Young Adult,41.73,4,In stock,Premium (£40–60),Good
776,Two Summers,Young Adult,14.64,1,In stock,Low (£0–20),Poor
777,The Darkest Corners,Young Adult,11.33,5,In stock,Low (£0–20),Excellent
778,Tell Me Three Things,Young Adult,41.81,1,In stock,Premium (£40–60),Poor
779,Lola and the Boy Next Door (Anna and the French Kiss #2),Young Adult,23.63,4,In stock,Medium (£20–40),Good
780,Kill the Boy Band,Young Adult,15.52,5,In stock,Low (£0–20),Excellent
781,Isla and the Happily Ever After (Anna and the French Kiss #3),Young Adult,48.13,5,In stock,Premium (£40–60),Excellent
782,An Abundance of Katherines,Young Adult,10.0,5,In stock,Low (£0–20),Excellent
783,Harry Potter and the Prisoner of Azkaban (Harry Potter #3),Young Adult,24.17,4,In stock,Medium (£20–40),Good
784,Walk the Edge (Thunder Road #2),Young Adult,32.36,3,In stock,Medium (£20–40),Average
785,Two Boys Kissing,Young Adult,32.74,2,In stock,Medium (£20–40),Fair
786,The New Guy (and Other Senior Year Distractions),Young Adult,44.92,3,In stock,Premium (£40–60),Average
787,"The Land of 10,000 Madonnas",Young Adult,29.64,4,In stock,Medium (£20–40),Good
788,Scarlet (The Lunar Chronicles #2),Young Adult,14.57,4,In stock,Low (£0–20),Good
789,Legend (Legend #1),Young Adult,43.69,4,In stock,Premium (£40–60),Good
790,Lady Renegades (Rebel Belle #3),Young Adult,53.04,5,In stock,Premium (£40–60),Excellent
791,Golden (Heart of Dread #3),Young Adult,42.21,4,In stock,Premium (£40–60),Good
792,Cinder (The Lunar Chronicles #1),Young Adult,26.09,1,In stock,Medium (£20–40),Poor
793,Boy Meets Boy,Young Adult,21.12,3,In stock,Medium (£20–40),Average
794,Annie on My Mind,Young Adult,36.83,5,In stock,Medium (£20–40),Excellent
795,New Moon (Twilight #2),Young Adult,12.86,4,In stock,Low (£0–20),Good
796,Girl Online On Tour (Girl Online #2),Young Adult,53.47,1,In stock,Premium (£40–60),Poor
797,The Haters,Young Adult,27.89,5,In stock,Medium (£20–40),Excellent
798,The Art of Not Breathing,Young Adult,40.83,4,In stock,Premium (£40–60),Good
799,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,42.96,4,In stock,Premium (£40–60),Good
800,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Science,57.36,5,In stock,Premium (£40–60),Excellent
801,Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Science,44.74,4,In stock,Premium (£40–60),Good
802,Tipping Point for Planet Earth: How Close Are We to the Edge?,Science,37.55,1,In stock,Medium (£20–40),Poor
803,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Science,55.91,1,In stock,Premium (£40–60),Poor
804,Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,Science,28.41,1,In stock,Medium (£20–40),Poor
805,The Origin of Species,Science,10.01,4,In stock,Low (£0–20),Good
806,The Grand Design,Science,13.76,3,In stock,Low (£0–20),Average
807,Peak: Secrets from the New Science of Expertise,Science,16.28,2,In stock,Low (£0–20),Fair
808,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Science,13.03,4,In stock,Low (£0–20),Good
809,"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Science,57.35,5,In stock,Premium (£40–60),Excellent
810,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Science,25.83,2,In stock,Medium (£20–40),Fair
811,Seven Brief Lessons on Physics,Science,30.6,4,In stock,Medium (£20–40),Good
812,The Selfish Gene,Science,29.45,1,In stock,Medium (£20–40),Poor
813,A Light in the Attic,Poetry,51.77,3,In stock,Premium (£40–60),Average
814,The Black Maria,Poetry,52.15,1,In stock,Premium (£40–60),Poor
815,Shakespeare's Sonnets,Poetry,20.66,4,In stock,Medium (£20–40),Good
816,Olio,Poetry,23.88,1,In stock,Medium (£20–40),Poor
817,You can't bury them all: Poems,Poetry,33.63,2,In stock,Medium (£20–40),Fair
818,Slow States of Collapse: Poems,Poetry,57.31,3,In stock,Premium (£40–60),Average
819,Untitled Collection: Sabbath Poems 2014,Poetry,14.27,4,In stock,Low (£0–20),Good
820,Poems That Make Grown Women Cry,Poetry,14.19,4,In stock,Low (£0–20),Good
821,Night Sky with Exit Wounds,Poetry,41.05,1,In stock,Premium (£40–60),Poor
822,salt.,Poetry,46.78,4,In stock,Premium (£40–60),Good
823,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Poetry,50.89,5,In stock,Premium (£40–60),Excellent
824,Out of Print: City Lights Spotlight No. 14,Poetry,53.64,5,In stock,Premium (£40–60),Excellent
825,Les Fleurs du Mal,Poetry,29.04,5,In stock,Medium (£20–40),Excellent
826,Howl and Other Poems,Poetry,40.45,2,In stock,Premium (£40–60),Fair
827,Leave This Song Behind: Teen Poetry at Its Best,Poetry,51.17,5,In stock,Premium (£40–60),Excellent
828,The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),Poetry,15.42,5,In stock,Low (£0–20),Excellent
829,The Crossover,Poetry,38.77,4,In stock,Medium (£20–40),Good
830,Booked,Poetry,17.49,5,In stock,Low (£0–20),Excellent
831,Twenty Love Poems and a Song of Despair,Poetry,30.95,4,In stock,Medium (£20–40),Good
832,"Vampire Knight, Vol. 1 (Vampire Knight #1)",Paranormal,15.4,1,In stock,Low (£0–20),Poor
833,Wall and Piece,Art,44.18,4,In stock,Premium (£40–60),Good
834,Feathers: Displays of Brilliant Plumage,Art,49.05,3,In stock,Premium (£40–60),Average
835,Art and Fear: Observations on the Perils (and Rewards) of Artmaking,Art,48.63,4,In stock,Premium (£40–60),Good
836,The New Drawing on the Right Side of the Brain,Art,43.02,3,In stock,Premium (£40–60),Average
837,History of Beauty,Art,10.29,4,In stock,Low (£0–20),Good
838,The Story of Art,Art,41.14,4,In stock,Premium (£40–60),Good
839,The Art Book,Art,32.34,2,In stock,Medium (£20–40),Fair
840,Ways of Seeing,Art,39.51,5,In stock,Medium (£20–40),Excellent
841,The Lucifer Effect: Understanding How Good People Turn Evil,Psychology,10.4,1,In stock,Low (£0–20),Poor
842,The Golden Condom: And Other Essays on Love Lost and Found,Psychology,39.43,1,In stock,Medium (£20–40),Poor
843,It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Psychology,56.27,3,In stock,Premium (£40–60),Average
844,An Unquiet Mind: A Memoir of Moods and Madness,Psychology,21.3,3,In stock,Medium (£20–40),Average
845,"Thinking, Fast and Slow",Psychology,21.14,1,In stock,Medium (£20–40),Poor
846,Civilization and Its Discontents,Psychology,59.95,2,In stock,Premium (£40–60),Fair
847,8 Keys to Mental Health Through Exercise,Psychology,31.04,1,In stock,Medium (£20–40),Poor
848,The Argonauts,Autobiography,10.93,2,In stock,Low (£0–20),Fair
849,M Train,Autobiography,27.18,1,In stock,Medium (£20–40),Poor
850,Lab Girl,Autobiography,40.85,1,In stock,Premium (£40–60),Poor
851,Approval Junkie: Adventures in Caring Too Much,Autobiography,58.81,5,In stock,Premium (£40–60),Excellent
852,Running with Scissors,Autobiography,12.91,4,In stock,Low (£0–20),Good
853,Me Talk Pretty One Day,Autobiography,57.6,2,In stock,Premium (£40–60),Fair
854,Lust & Wonder,Autobiography,11.87,2,In stock,Low (£0–20),Fair
855,Life Without a Recipe,Autobiography,59.04,5,In stock,Premium (£40–60),Excellent
856,A Heartbreaking Work of Staggering Genius,Autobiography,54.29,5,In stock,Premium (£40–60),Excellent
857,Catastrophic Happiness: Finding Joy in Childhood's Messy Years,Parenting,37.35,2,In stock,Medium (£20–40),Fair
858,Fifty Shades Freed (Fifty Shades #3),Adult Fiction,15.36,5,In stock,Low (£0–20),Excellent
859,The Long Haul (Diary of a Wimpy Kid #9),Humor,44.07,1,In stock,Premium (£40–60),Poor
860,Old School (Diary of a Wimpy Kid #10),Humor,11.83,5,In stock,Low (£0–20),Excellent
861,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,Humor,25.98,4,In stock,Medium (£20–40),Good
862,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Humor,14.75,5,In stock,Low (£0–20),Excellent
863,Dress Your Family in Corduroy and Denim,Humor,43.68,3,In stock,Premium (£40–60),Average
864,Toddlers Are A**holes: It's Not Your Fault,Humor,25.55,1,In stock,Medium (£20–40),Poor
865,When You Are Engulfed in Flames,Humor,30.89,5,In stock,Medium (£20–40),Excellent
866,Naked,Humor,31.69,3,In stock,Medium (£20–40),Average
867,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Humor,55.5,5,In stock,Premium (£40–60),Excellent
868,Holidays on Ice,Humor,51.07,2,In stock,Premium (£40–60),Fair
869,Security,Horror,39.25,2,In stock,Medium (£20–40),Fair
870,Follow You Home,Horror,21.36,1,In stock,Medium (£20–40),Poor
871,The Loney,Horror,23.4,1,In stock,Medium (£20–40),Poor
872,Pet Sematary,Horror,10.56,3,In stock,Low (£0–20),Average
873,Doctor Sleep (The Shining #2),Horror,40.12,2,In stock,Premium (£40–60),Fair
874,Psycho: Sanitarium (Psycho #1.5),Horror,36.97,5,In stock,Medium (£20–40),Excellent
875,Can You Keep a Secret? (Fear Street Relaunch #4),Horror,48.64,1,In stock,Premium (£40–60),Poor
876,Red Dragon (Hannibal Lecter #1),Horror,23.37,3,In stock,Medium (£20–40),Average
877,Dracula the Un-Dead,Horror,35.63,5,In stock,Medium (£20–40),Excellent
878,Night Shift (Night Shift #1-20),Horror,12.75,4,In stock,Low (£0–20),Good
879,Needful Things,Horror,47.51,4,In stock,Premium (£40–60),Good
880,Misery,Horror,34.79,2,In stock,Medium (£20–40),Fair
881,It,Horror,25.01,3,In stock,Medium (£20–40),Average
882,'Salem's Lot,Horror,49.56,4,In stock,Premium (£40–60),Good
883,The Stand,Horror,57.86,2,In stock,Premium (£40–60),Fair
884,The Girl with All the Gifts,Horror,49.47,3,In stock,Premium (£40–60),Average
885,House of Leaves,Horror,54.89,1,In stock,Premium (£40–60),Poor
886,Sapiens: A Brief History of Humankind,History,54.23,5,In stock,Premium (£40–60),Excellent
887,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,25.52,1,In stock,Medium (£20–40),Poor
888,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,19.73,1,In stock,Low (£0–20),Poor
889,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,36.28,2,In stock,Medium (£20–40),Fair
890,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,History,59.64,1,In stock,Premium (£40–60),Poor
891,Zealot: The Life and Times of Jesus of Nazareth,History,24.7,3,In stock,Medium (£20–40),Average
892,A Distant Mirror: The Calamitous 14th Century,History,14.58,3,In stock,Low (£0–20),Average
893,1491: New Revelations of the Americas Before Columbus,History,21.8,3,In stock,Medium (£20–40),Average
894,Brilliant Beacons: A History of the American Lighthouse,History,11.45,3,In stock,Low (£0–20),Average
895,"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",History,44.48,5,In stock,Premium (£40–60),Excellent
896,A Short History of Nearly Everything,History,52.4,5,In stock,Premium (£40–60),Excellent
897,The Rise and Fall of the Third Reich: A History of Nazi Germany,History,39.67,2,In stock,Medium (£20–40),Fair
898,Catherine the Great: Portrait of a Woman,History,58.55,4,In stock,Premium (£40–60),Good
899,The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,History,42.91,5,In stock,Premium (£40–60),Excellent
900,The Hiding Place,History,55.91,4,In stock,Premium (£40–60),Good
901,America's War for the Greater Middle East: A Military History,History,51.22,2,In stock,Premium (£40–60),Fair
902,The Guns of August,History,14.54,2,In stock,Low (£0–20),Fair
903,"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",History,43.7,2,In stock,Premium (£40–60),Fair
904,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,30.52,3,In stock,Medium (£20–40),Average
905,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,56.41,1,In stock,Premium (£40–60),Poor
906,My Paris Kitchen: Recipes and Stories,Food and Drink,33.37,2,In stock,Medium (£20–40),Fair
907,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,14.02,4,In stock,Low (£0–20),Good
908,"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,40.11,1,In stock,Premium (£40–60),Poor
909,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Food and Drink,37.34,5,In stock,Medium (£20–40),Excellent
910,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Food and Drink,37.6,2,In stock,Medium (£20–40),Fair
911,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Food and Drink,41.25,1,In stock,Premium (£40–60),Poor
912,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Food and Drink,42.16,3,In stock,Premium (£40–60),Average
913,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Food and Drink,28.77,3,In stock,Medium (£20–40),Average
914,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",Food and Drink,19.55,1,In stock,Low (£0–20),Poor
915,Barefoot Contessa Back to Basics,Food and Drink,28.01,1,In stock,Medium (£20–40),Poor
916,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Food and Drink,50.62,5,In stock,Premium (£40–60),Excellent
917,My Kitchen Year: 136 Recipes That Saved My Life,Food and Drink,11.53,2,In stock,Low (£0–20),Fair
918,Everyday Italian: 125 Simple and Delicious Recipes,Food and Drink,20.1,5,In stock,Medium (£20–40),Excellent
919,"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",Food and Drink,38.77,1,In stock,Medium (£20–40),Poor
920,Cravings: Recipes for What You Want to Eat,Food and Drink,20.5,3,In stock,Medium (£20–40),Average
921,"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",Food and Drink,12.34,4,In stock,Low (£0–20),Good
922,32 Yolks,Food and Drink,53.63,2,In stock,Premium (£40–60),Fair
923,"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",Food and Drink,11.38,5,In stock,Low (£0–20),Excellent
924,How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),Food and Drink,46.01,4,In stock,Premium (£40–60),Good
925,How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,Food and Drink,28.25,2,In stock,Medium (£20–40),Fair
926,The Barefoot Contessa Cookbook,Food and Drink,59.92,5,In stock,Premium (£40–60),Excellent
927,Better Homes and Gardens New Cook Book,Food and Drink,39.61,3,In stock,Medium (£20–40),Average
928,The Power Greens Cookbook: 140 Delicious Superfood Recipes,Food and Drink,11.05,5,In stock,Low (£0–20),Excellent
929,Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,Food and Drink,24.91,5,In stock,Medium (£20–40),Excellent
930,Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,Food and Drink,13.66,2,In stock,Low (£0–20),Fair
931,The Smitten Kitchen Cookbook,Food and Drink,23.59,1,In stock,Medium (£20–40),Poor
932,"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",Food and Drink,34.32,3,In stock,Medium (£20–40),Average
933,Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,Food and Drink,33.14,3,In stock,Medium (£20–40),Average
934,Redeeming Love,Christian Fiction,20.47,5,In stock,Medium (£20–40),Excellent
935,Close to You,Christian Fiction,49.46,4,In stock,Premium (£40–60),Good
936,Shadows of the Past (Logan Point #1),Christian Fiction,39.67,5,In stock,Medium (£20–40),Excellent
937,Like Never Before (Walker Family #2),Christian Fiction,28.77,2,In stock,Medium (£20–40),Fair
938,Counted With the Stars (Out from Egypt #1),Christian Fiction,17.97,5,In stock,Low (£0–20),Excellent
939,If I Run (If I Run #1),Christian Fiction,49.97,4,In stock,Premium (£40–60),Good
940,The Dirty Little Secrets of Getting Your Dream Job,Business,33.34,4,In stock,Medium (£20–40),Good
941,The Third Wave: An Entrepreneur’s Vision of the Future,Business,12.61,5,In stock,Low (£0–20),Excellent
942,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Business,27.55,3,In stock,Medium (£20–40),Average
943,Shoe Dog: A Memoir by the Creator of NIKE,Business,23.99,2,In stock,Medium (£20–40),Fair
944,Made to Stick: Why Some Ideas Survive and Others Die,Business,38.85,5,In stock,Medium (£20–40),Excellent
945,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,Business,43.14,1,In stock,Premium (£40–60),Poor
946,The Art of Startup Fundraising,Business,21.0,3,In stock,Medium (£20–40),Average
947,Born for This: How to Find the Work You Were Meant to Do,Business,21.59,5,In stock,Medium (£20–40),Excellent
948,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Business,36.91,1,In stock,Medium (£20–40),Poor
949,"Rich Dad, Poor Dad",Business,51.74,1,In stock,Premium (£40–60),Poor
950,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Business,33.92,3,In stock,Medium (£20–40),Average
951,Rework,Business,44.88,2,In stock,Premium (£40–60),Fair
952,Louisa: The Extraordinary Life of Mrs. Adams,Biography,16.85,2,In stock,Low (£0–20),Fair
953,"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",Biography,21.15,2,In stock,Medium (£20–40),Fair
954,The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,Biography,39.55,1,In stock,Medium (£20–40),Poor
955,Benjamin Franklin: An American Life,Biography,48.19,3,In stock,Premium (£40–60),Average
956,The Rise of Theodore Roosevelt (Theodore Roosevelt #1),Biography,42.57,3,In stock,Premium (£40–60),Average
957,In Her Wake,Thriller,12.84,1,In stock,Low (£0–20),Poor
958,The Elephant Tree,Thriller,23.82,5,In stock,Medium (£20–40),Excellent
959,Behind Closed Doors,Thriller,52.22,4,In stock,Premium (£40–60),Good
960,You (You #1),Thriller,43.61,5,In stock,Premium (£40–60),Excellent
961,The Guilty (Will Robie #4),Thriller,13.82,2,In stock,Low (£0–20),Fair
962,The 14th Colony (Cotton Malone #11),Thriller,39.24,1,In stock,Medium (£20–40),Poor
963,Give It Back,Thriller,18.32,2,In stock,Low (£0–20),Fair
964,Killing Floor (Jack Reacher #1),Thriller,31.49,4,In stock,Medium (£20–40),Good
965,The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),Thriller,59.71,3,In stock,Premium (£40–60),Average
966,Far From True (Promise Falls Trilogy #2),Thriller,34.93,2,In stock,Medium (£20–40),Fair
967,The Travelers,Thriller,15.77,1,In stock,Low (£0–20),Poor
968,When We Collided,Contemporary,31.77,1,In stock,Medium (£20–40),Poor
969,Someone Like You (The Harrisons #2),Contemporary,52.79,5,In stock,Premium (£40–60),Excellent
970,We Are All Completely Beside Ourselves,Contemporary,24.04,1,In stock,Medium (£20–40),Poor
971,The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,17.66,5,In stock,Low (£0–20),Excellent
972,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,32.24,5,In stock,Medium (£20–40),Excellent
973,Chasing Heaven: What Dying Taught Me About Living,Spirituality,37.8,2,In stock,Medium (£20–40),Fair
974,If I Gave You God's Phone Number....: Searching for Spirituality in America,Spirituality,20.91,1,In stock,Medium (£20–40),Poor
975,Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,Spirituality,46.33,2,In stock,Premium (£40–60),Fair
976,A New Earth: Awakening to Your Life's Purpose,Spirituality,55.65,5,In stock,Premium (£40–60),Excellent
977,Logan Kade (Fallen Crest High #5.5),Academic,13.12,2,In stock,Low (£0–20),Fair
978,Online Marketing for Busy Authors: A Step-By-Step Guide,Self Help,46.35,1,In stock,Premium (£40–60),Poor
979,How to Be Miserable: 40 Strategies You Already Use,Self Help,46.03,1,In stock,Premium (£40–60),Poor
980,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",Self Help,52.15,3,In stock,Premium (£40–60),Average
981,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Self Help,12.08,3,In stock,Low (£0–20),Average
982,How to Stop Worrying and Start Living,Self Help,46.49,5,In stock,Premium (£40–60),Excellent
983,All the Light We Cannot See,Historical,29.87,5,In stock,Medium (£20–40),Excellent
984,The Girl You Left Behind (The Girl You Left Behind #1),Historical,15.79,1,In stock,Low (£0–20),Poor
985,(Un)Qualified: How God Uses Broken People to Do Big Things,Christian,54.0,5,In stock,Premium (£40–60),Excellent
986,Crazy Love: Overwhelmed by a Relentless God,Christian,47.72,2,In stock,Premium (£40–60),Fair
987,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Christian,25.77,1,In stock,Medium (£20–40),Poor
988,Silence in the Dark (Logan Point #4),Suspense,58.33,3,In stock,Premium (£40–60),Average
989,The Grownup,Short Stories,35.88,1,In stock,Medium (£20–40),Poor
990,Suzie Snowflake: One beautiful flake (a self-esteem story),Novels,54.81,5,In stock,Premium (£40–60),Excellent
991,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,49.05,3,In stock,Premium (£40–60),Average
992,"Eat Fat, Get Thin",Health,54.07,2,In stock,Premium (£40–60),Fair
993,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,Health,49.71,5,In stock,Premium (£40–60),Excellent
994,The Art and Science of Low Carbohydrate Living,Health,52.98,5,In stock,Premium (£40–60),Excellent
995,Libertarianism for Beginners,Politics,51.33,2,In stock,Premium (£40–60),Fair
996,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,Politics,52.65,4,In stock,Premium (£40–60),Good
997,Equal Is Unfair: America's Misguided Fight Against Income Inequality,Politics,56.86,1,In stock,Premium (£40–60),Poor
998,Amid the Chaos,Cultural,36.58,1,In stock,Medium (£20–40),Poor
999,Dark Notes,Erotica,19.19,5,In stock,Low (£0–20),Excellent
1000,The Long Shadow of Small Ghosts: Murder and Memory in an American City,Crime,10.97,1,In stock,Low (£0–20),Poor
